Margot Robbie,Everything Barbie,Female,The real world explorer
Issa Rae,President Barbie,Female,Elected president of Barbie Land
Nichola Coughlan,Diplomat Barbie,Female,The diplomat of the group
Ritu Arya,Journalist Barbie,Female,Pulitzer Prize-winning journalist
Sharon Rooney,Lawyer Barbie,Female,Making sure every other Barbie has proper representation
Hari Nef,Doctor Barbie,Female,The resident physician in Barbie Land
Kate McKinnon,Gymnast Barbie,female,Chopped hair and drawn-on face and legs always in the splits
Emma Mackey,Physicist Barbie,Female,A scientist
Dua Lipa,Mermaid Barbie,Female,Rocks blue hair and lives in the ocean with Merman Ken
